Epoch: 0, Test Loss: 1.091782808303833
{'recon_loss': 0.5360507369041443, 'kl_loss': 2421.038330078125, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.5139009356498718, 'kl_loss': 677.2109375, 'test_loss': 0.8971966803073883}
Epoch: 60, Test Loss: 1.2567203640937805
{'recon_loss': 0.48249131441116333, 'kl_loss': 292.6339111328125, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.4710111916065216, 'kl_loss': 171.51055908203125, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.4677777886390686, 'kl_loss': 145.35731506347656, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.44557711482048035, 'kl_loss': 130.37744140625, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.4351200759410858, 'kl_loss': 103.75200653076172, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.5356574058532715, 'kl_loss': 112.53914642333984, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.44400855898857117, 'kl_loss': 313.1700439453125, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.46103623509407043, 'kl_loss': 151.56500244140625, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.4322557747364044, 'kl_loss': 127.2977294921875, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.7442355751991272, 'kl_loss': 4537.36328125, 'test_loss': 1.2567203640937805}
Epoch: 70, Test Loss: 0.8183331787586212
{'recon_loss': 0.8841236233711243, 'kl_loss': 4993.41162109375, 'test_loss': 0.8183331787586212}
{'recon_loss': 0.6918513774871826, 'kl_loss': 2288.049072265625, 'test_loss': 0.8183331787586212}
{'recon_loss': 1.1212279796600342, 'kl_loss': 562.1152954101562, 'test_loss': 0.8183331787586212}
{'recon_loss': 2.3464787006378174, 'kl_loss': 697.0702514648438, 'test_loss': 0.8183331787586212}
{'recon_loss': 0.7358339428901672, 'kl_loss': 322.115478515625, 'test_loss': 0.8183331787586212}
{'recon_loss': 0.5700076222419739, 'kl_loss': 582.6255493164062, 'test_loss': 0.8183331787586212}
{'recon_loss': 0.5893554091453552, 'kl_loss': 1058.225341796875, 'test_loss': 0.8183331787586212}
{'recon_loss': 1.1666733026504517, 'kl_loss': 4628.9716796875, 'test_loss': 0.8183331787586212}
{'recon_loss': 2.54667592048645, 'kl_loss': 15186996.0, 'test_loss': 0.8183331787586212}
{'recon_loss': 0.7023269534111023, 'kl_loss': 15161787.0, 'test_loss': 0.8183331787586212}
Epoch: 80, Test Loss: 0.7820300459861755
{'recon_loss': 0.6377670764923096, 'kl_loss': 15161552.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.5750072598457336, 'kl_loss': 15161540.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.5216909646987915, 'kl_loss': 15161520.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.48960375785827637, 'kl_loss': 15161515.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.4811028838157654, 'kl_loss': 15161512.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.4751709997653961, 'kl_loss': 15161510.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.4740895926952362, 'kl_loss': 15161510.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.4723134934902191, 'kl_loss': 15161510.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.46861881017684937, 'kl_loss': 15161508.0, 'test_loss': 0.7820300459861755}
{'recon_loss': 0.46165788173675537, 'kl_loss': 15161508.0, 'test_loss': 0.7820300459861755}
Epoch: 90, Test Loss: 0.5518233627080917
{'recon_loss': 0.45682159066200256, 'kl_loss': 15161508.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.456189900636673, 'kl_loss': 15161508.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.45916348695755005, 'kl_loss': 15161508.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.4571341574192047, 'kl_loss': 15161507.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.45599520206451416, 'kl_loss': 15161507.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.4556773602962494, 'kl_loss': 15161507.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.46568816900253296, 'kl_loss': 15161507.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.4494660496711731, 'kl_loss': 15161504.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.4478369653224945, 'kl_loss': 15161504.0, 'test_loss': 0.5518233627080917}
{'recon_loss': 0.4550941288471222, 'kl_loss': 15161504.0, 'test_loss': 0.5518233627080917}
Epoch: 100, Test Loss: 0.5452796146273613
{'recon_loss': 0.45264187455177307, 'kl_loss': 15161502.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.45010533928871155, 'kl_loss': 15161502.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.4517936110496521, 'kl_loss': 15161502.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.4498918652534485, 'kl_loss': 15161502.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.4463379383087158, 'kl_loss': 15161502.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.44693368673324585, 'kl_loss': 15161502.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.4483625888824463, 'kl_loss': 15161502.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.44918298721313477, 'kl_loss': 15161500.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.4656810462474823, 'kl_loss': 15161500.0, 'test_loss': 0.5452796146273613}
{'recon_loss': 0.44972679018974304, 'kl_loss': 15161500.0, 'test_loss': 0.5452796146273613}
Epoch: 110, Test Loss: 0.5440462753176689
{'recon_loss': 0.44505786895751953, 'kl_loss': 15161500.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.44482675194740295, 'kl_loss': 15161500.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.44384974241256714, 'kl_loss': 15161500.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.4489040672779083, 'kl_loss': 15161500.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.4443182945251465, 'kl_loss': 15161500.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.44448965787887573, 'kl_loss': 15161500.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.4462094306945801, 'kl_loss': 15161499.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.4412587583065033, 'kl_loss': 15161499.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.4471818804740906, 'kl_loss': 15161499.0, 'test_loss': 0.5440462753176689}
{'recon_loss': 0.4452028274536133, 'kl_loss': 15161499.0, 'test_loss': 0.5440462753176689}
Epoch: 120, Test Loss: 0.5408793315291405
{'recon_loss': 0.441074937582016, 'kl_loss': 15161499.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.443424791097641, 'kl_loss': 15161499.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.44625574350357056, 'kl_loss': 15161499.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.4462679922580719, 'kl_loss': 15161499.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.44192373752593994, 'kl_loss': 15161499.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.44101741909980774, 'kl_loss': 15161496.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.4458507001399994, 'kl_loss': 15161496.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.44846245646476746, 'kl_loss': 15161496.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.44438445568084717, 'kl_loss': 15161496.0, 'test_loss': 0.5408793315291405}
{'recon_loss': 0.4485282301902771, 'kl_loss': 15161496.0, 'test_loss': 0.5408793315291405}
Epoch: 130, Test Loss: 0.5429287105798721
{'recon_loss': 0.44361555576324463, 'kl_loss': 15161496.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.44312652945518494, 'kl_loss': 15161494.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.45567047595977783, 'kl_loss': 15161494.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.4483940005302429, 'kl_loss': 15161494.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.4425171911716461, 'kl_loss': 15161494.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.44469505548477173, 'kl_loss': 15161494.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.44161033630371094, 'kl_loss': 15161494.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.44885942339897156, 'kl_loss': 15161494.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.44520246982574463, 'kl_loss': 15161492.0, 'test_loss': 0.5429287105798721}
{'recon_loss': 0.44492003321647644, 'kl_loss': 15161492.0, 'test_loss': 0.5429287105798721}
Epoch: 140, Test Loss: 0.5459732413291931
{'recon_loss': 0.4458392560482025, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4418783485889435, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4434880316257477, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4448924958705902, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4485298991203308, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4389094114303589, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4459531307220459, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
{'recon_loss': 0.4440944194793701, 'kl_loss': 15161492.0, 'test_loss': 0.5459732413291931}
