Epoch: 0, Test Loss: 1.1887319684028625
{'recon_loss': 0.5391983389854431, 'kl_loss': 15161454.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5562892556190491, 'kl_loss': 15161454.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4733004570007324, 'kl_loss': 15161452.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4584706723690033, 'kl_loss': 15161450.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4197762906551361, 'kl_loss': 15161448.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4078255295753479, 'kl_loss': 15161448.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.3435969054698944, 'kl_loss': 15161446.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4529370963573456, 'kl_loss': 15161444.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4502289593219757, 'kl_loss': 15161444.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.45276305079460144, 'kl_loss': 15161443.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.562555193901062, 'kl_loss': 15161443.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.41195908188819885, 'kl_loss': 15161440.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.7415227293968201, 'kl_loss': 15161440.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6389338374137878, 'kl_loss': 15161439.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.48383092880249023, 'kl_loss': 15161438.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5766816139221191, 'kl_loss': 15161439.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5083023905754089, 'kl_loss': 15161438.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5463992357254028, 'kl_loss': 15161436.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.3971922993659973, 'kl_loss': 15161435.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.3753040134906769, 'kl_loss': 15161432.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.9559001326560974, 'kl_loss': 15161432.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4806659519672394, 'kl_loss': 15161432.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.380018413066864, 'kl_loss': 15161434.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.436129093170166, 'kl_loss': 15161432.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.43378746509552, 'kl_loss': 15161430.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.39381447434425354, 'kl_loss': 15161428.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5346788167953491, 'kl_loss': 15161428.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.42375895380973816, 'kl_loss': 15161436.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4984009265899658, 'kl_loss': 15161428.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4904496371746063, 'kl_loss': 15161427.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5177669525146484, 'kl_loss': 15161427.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.39749065041542053, 'kl_loss': 15161424.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4168071746826172, 'kl_loss': 15161424.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5259568691253662, 'kl_loss': 15161424.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4045560359954834, 'kl_loss': 15161422.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5189279317855835, 'kl_loss': 15161422.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.45686718821525574, 'kl_loss': 15161422.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5803072452545166, 'kl_loss': 15161420.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5848156809806824, 'kl_loss': 15161420.0, 'test_loss': 1.1887319684028625}
Epoch: 100, Test Loss: 152.14122227260043
{'recon_loss': 0.3454190194606781, 'kl_loss': 15161420.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.5391836762428284, 'kl_loss': 15161420.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4168390929698944, 'kl_loss': 15161419.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4110131859779358, 'kl_loss': 15161419.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4652887284755707, 'kl_loss': 15161419.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.33579105138778687, 'kl_loss': 15161419.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8235751390457153, 'kl_loss': 15161418.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4337107539176941, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4748990535736084, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.5653500556945801, 'kl_loss': 15161418.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4641740024089813, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.44818684458732605, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4882381558418274, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.5682395696640015, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4604436159133911, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4741632640361786, 'kl_loss': 15161416.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.3239139914512634, 'kl_loss': 15161414.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.5127133727073669, 'kl_loss': 15161414.0, 'test_loss': 152.14122227260043}
{'recon_loss': 0.4645044803619385, 'kl_loss': 15161414.0, 'test_loss': 152.14122227260043}
